CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,MD01_CN,MD01x01,MD01x02,MD01x03,MD01x04,MD01x05,MD01x06,MD01x07,MD01x08,MD01x09,MD01x10,MD01x11,MD01x12,MD01x13,MD01x14,MD01x15,MD01x16,MD01x17,MD01x18,MD01x19,MD01x20,MD01x21,MD01x22,MD01x23,MD01x24,MD01x25,MD01x26,MD01x27,MD01x28,MD01x29,MD01x30,MD01x31,KP01_01,KP02,KP03,RR01_01,RR02,RR03,AI01_01,AI02,AI03,A201_01,A202,A203,BS01_01,BS02,BS03,TI01_01,TI02,TI03,PV01_01,PV02,PV03,P201_01,P202,P203,MM01_01,MM02,MM03,DS01_01,DS02,DS03,D201_01,D202,D203,SE01_01,SE02,SE03,KI01_01,KI02,KI03,CB01_01,CB02,CB03,HC01_01,HC02,HC03,H201_01,H202,H203,IT01_01,IT02,IT03,CG01_01,CG02,CG03,ES01_01,ES02,ES03,RI01_01,RI02,RI03,CS01_01,CS02,CS03,GD01_01,GD02,GD03,FP01_01,FP02,FP03,DL01_01,DL02,DL03,PR01_01,PR02,PR03,BP01_01,BP02,BP03,SR01_01,SR02,SR03,BA01_01,BA02,BA03,K101_01,K102,K103,IU01_01,IU02,IU03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
Interview-Nummer (fortlaufend),Seriennummer (sofern verwendet),Referenz (sofern im Link angegeben),Fragebogen der im Interview verwendet wurde,Interview-Modus,Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin),TODO,FragenAnweisung: Konzepte der Programmierung,FragenAnweisung: Rechnerarchitektur und Rechnernetze,FragenAnweisung: Algorithmen und Datenstrukturen I,FragenAnweisung: Algorithmen und Datenstrukturen II,FragenAnweisung: Betriebssysteme,FragenAnweisung: Theoretische Informatik I,FragenAnweisung: Theoretische Informatik II,FragenAnweisung: Parallele und Verteilte Systeme I,FragenAnweisung: Parallele und Verteilte Systeme II,FragenAnweisung: Multimediale Systeme I,FragenAnweisung: Datenbanken und Informationssysteme I,FragenAnweisung: Datenbanken und Informationssysteme II,FragenAnweisung: Software Engineering I,FragenAnweisung: Künstliche Intelligenz I,FragenAnweisung: Künstliche Intelligenz II,FragenAnweisung: Compilerbau,FragenAnweisung: Mensch-Computer-Interaktion I,FragenAnweisung: Mensch-Computer-Interaktion II,FragenAnweisung: IT-Sicherheit,FragenAnweisung: Computegraphik I,FragenAnweisung: Eingebettete Systeme,FragenAnweisung: Robotik I,FragenAnweisung: Computersehen,FragenAnweisung: Grundlagen der Modellierung,FragenAnweisung: Fortgeschrittene Programmierkonzepte in C++,FragenAnweisung: Programming Data Analysis and Deep Learning in Python,FragenAnweisung: Bachelor-Projekt,FragenAnweisung: Bachelor-Praktikum,FragenAnweisung: Bachelor-Seminar,FragenAnweisung: Bachelor-Arbeit,FragenAnweisung: IUI,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Note: Note,Semester,Like,Verweildauer Seite 1,Verweildauer Seite 2,Verweildauer Seite 3,Verweildauer Seite 4,Verweildauer Seite 5,Verweildauer Seite 6,Verweildauer Seite 7,Verweildauer Seite 9,Verweildauer Seite 10,Verweildauer Seite 11,Verweildauer Seite 12,Verweildauer Seite 13,Verweildauer Seite 14,Verweildauer Seite 15,Verweildauer Seite 16,Verweildauer Seite 17,Verweildauer Seite 18,Verweildauer Seite 19,Verweildauer Seite 20,Verweildauer Seite 21,Verweildauer Seite 22,Verweildauer Seite 23,Verweildauer Seite 24,Verweildauer Seite 25,Verweildauer Seite 26,Verweildauer Seite 27,Verweildauer Seite 28,Verweildauer Seite 29,Verweildauer Seite 30,Verweildauer Seite 31,Verweildauer Seite 32,Verweildauer gesamt (ohne Ausreißer),Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten),Zeitpunkt als der Datensatz das letzte mal geändert wurde,Wurde die Befragung abgeschlossen (letzte Seite erreicht)?,Hat der Teilnehmer den Fragebogen nur angesehen ohne die Pflichtfragen zu beantworten?,Seite die der Teilnehmer zuletzt bearbeitet hat,Letzte Seite die im Fragebogen bearbeitet wurde,Anteil fehlender Antworten in Prozent,Anteil fehlender Antworten (gewichtet nach Relevanz),Maluspunkte für schnelles Ausfüllen,Maluspunkte für schnelles Ausfüllen
47,,,base,interview,,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,1,1,0,0,,100
56,,,base,interview,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,,,,,,,,,,,,,,,,,,,,,,3,1,3,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,0,,,1,0,27,27,0,0,,100
57,,,base,interview,,19,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,1,1,0,0,,100
59,,,base,interview,,23,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,1,1,0,0,,100
60,,,base,interview,,25,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,3,4,1,2,7,2,1,,,,4,3,2,6,4,1,6,5,3,1,6,3,3,4,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,0,,,0,0,12,12,0,0,,100
62,,,base,interview,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,1,1,0,0,,100
65,,,base,interview,,18,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,4,1,2,3,1,3,6,2,3,,,,5,3,3,4,4,3,5,5,3,,,,5,4,3,3,2,3,,,,3,4,2,,,,7,5,3,,,,,,,,,,5,4,3,3,6,3,3,5,3,-9,-9,-9,-9,-9,-9,7,3,3,,,,3,5,3,1,3,3,1,5,3,2,6,3,2,3,3,,,,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,-1,-1,,-1,,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,0,,,1,0,31,31,9,6,,100
67,,,base,interview,,9,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,2,4,3,7,2,1,,,,3,2,2,7,2,2,,,,,,,,,,4,4,2,3,3,3,2,2,3,,,,,,,,,,,,,1,5,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-1,-1,,-1,-1,,,,-1,-1,-1,,,,,,-1,-1,,,,,,,,,,,,0,,,1,0,21,21,0,0,,100
68,,,base,interview,,24,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,2,2,0,0,,100
